country_a,country_b,avg_depth_index,polity2_A,polity2_B,gattwto,contig,armconflict,id,religion,distln,comlang_off,comcol,comcur,comleg
AFG,BGD,1,NA,5,0,0,0,209,1,7.773585319519043,0,0,0,0
AFG,IND,1.8333333333333333,NA,9,0,0,0,272,0,6.911640644073486,0,0,0,0
AFG,LKA,1,NA,6,0,0,0,294,0,8.089807510375977,0,0,0,0
AFG,NPL,1,NA,6,0,0,0,323,0,7.444287300109863,0,0,0,0
AFG,PAK,1,NA,5,0,1,0,326,1,5.925998210906982,0,0,0,0
AGO,AUT,1,-3,10,1,0,0,400,1,8.757314682006836,0,0,0,0
AGO,BDI,1.5,-7,-7,0,0,0,402,1,7.538269519805908,0,0,0,1
AGO,BEL,2.1,-7,10,0,0,0,403,NA,8.80929946899414,0,0,0,1
AGO,BEN,2,0,6,0,0,0,404,0,7.636190891265869,0,0,0,1
AGO,BFA,2,0,-5,0,0,0,406,0,7.964202880859375,0,0,0,1
AGO,BWA,1.0909090909090908,-7,6,0,0,0,419,0,7.706872940063477,0,0,0,0
AGO,CAF,1.4444444444444444,0,-6,0,0,0,420,0,7.369586944580078,0,0,0,1
AGO,CIV,2,0,-7,0,0,0,425,0,7.816069602966309,0,0,0,1
AGO,CMR,1.4444444444444444,0,-4,0,0,0,426,0,7.261707782745361,0,0,0,1
AGO,COG,1.4444444444444444,0,5,0,0,0,427,1,6.322469234466553,0,0,0,1
AGO,COM,2.214285714285714,-7,-6,0,0,0,429,0,8.101985931396484,0,0,0,1
AGO,CPV,2,0,8,0,0,0,430,1,8.4846649169921875,1,1,0,1
AGO,DEU,2.1,-7,10,0,0,0,435,0,8.815570831298828,0,0,0,0
AGO,DJI,1.8421052631578947,-7,-8,0,0,0,436,0,8.29783821105957,0,0,0,1
AGO,DNK,2.1,-7,10,0,0,0,438,0,8.878924369812012,0,0,0,0
AGO,DZA,2,0,-7,0,0,0,440,0,8.555306434631348,0,0,0,1
AGO,EGY,2,0,-6,0,0,0,442,0,8.463149070739746,0,0,0,1
AGO,ERI,3,-1,-6,0,0,0,443,0,8.269232749938965,0,0,0,1
AGO,ESP,2.1,-7,10,0,0,0,444,1,8.657346725463867,0,0,0,1
AGO,ETH,2.214285714285714,-7,-7,0,NA,0,446,0,NA,0,0,0,1
AGO,FIN,1,-3,10,1,0,0,447,0,8.954961776733398,0,0,0,0
AGO,FRA,2.1,-7,9,0,0,0,449,1,8.781144142150879,0,0,0,1
