Complainant,Title,depth_index,Violator
Singapore,Malaysia - Prohibition of Imports of Polyethylene and Polypropylene,2,Malaysia
US,Korea - Measures Concerning the Testing and Inspection of Agricultural Products,1,Korea
US,Korea - Shelf-Life of Products,1,Korea
Japan,US - 1974 Trade Act,1,United States
Canada,EC - Duties on Imports of Cereals,3,EC
US,EC - Duties on Imports of Grain,2,EC
EC,Japan - Measures Affecting the Purchase of Telecommunications Equipment,1,Japan
Guatemala,"EC - Regime for the Importation, Sale and Distribution of Bananas",1,EC
Honduras,"EC - Regime for the Importation, Sale and Distribution of Bananas",1,EC
"Mexico
","EC - Regime for the Importation, Sale and Distribution of Bananas",1,EC
US,"EC - Regime for the Importation, Sale and Distribution of Bananas",1,EC
Thailand,EC - Duties on Imports of Rice,1,EC
India,Poland - Import Regime for Automobiles,1,Poland
Canada,Korea - Measures Concerning the Bottled Water,1,Korea
US,Australia - Measures Affecting the Importation of Salmonids,2,Australia
Mexico,Venezuela - Anti-Dumping Investigation in Respect of Imports of Certain OCTG,1,Venezuela
Uruguay,EC - Implementation of the Uruguay Round Commitments Concerning Rice,1,EC
US,Japan - Measures Concerning Sound Recordings,1,Japan
China,Turkey - Restrictions on Imports of Textile and Clothing Products,1,Turkey
Hong Kong,Turkey - Restrictions on Imports of Textile and Clothing Products,1,Turkey
Sri Lanka,Brazil - Countervailing Duties on Imports of Desiccated Coconut and Coconut Milk Powder from Sri Lanka,1,Brazil
India,US - Measures Affecting Imports of Women's and Girls' Wool Coats,2,United States
"Argentina, Australia, Canada, New Zealand, Thailand, US",Hungary - Export Subsidies in Respect of Agricultural Products,2,Hungary
US,Portugal - Patent Protection under the Industrial Property Act,1,Portugal
EC,US - The Cuban Liberty and Democratic Solidarity Act,3,United States
EC,US - Tariff Increases on Products from the EC,2,United States
EC,"Korea - Laws, Regulations and Practices in the Telecommunications Procurement Sector",1,Korea
US,Korea - Measures Concerning Inspection of Agricultural Products,1,Korea
EC,Japan - Measures Concerning Sound Recordings,1,Japan
US,Turkey - Taxation of Foreign Film Revenues,2,Turkey
US,Japan - Measures Affecting Distribution Services,1,Japan
Thailand,Turkey - Restrictions on Imports of Textile and Clothing Products,1,Turkey
Mexico,US - Anti-Dumping Investigation Regarding Imports of Fresh or Chilled Tomatoes from Mexico,1,United States
Japan,Brazil - Certain Automotive Investment Measures,1,Brazil
US,Brazil - Certain Measures Affecting Trade and Investment in the Automotive Sector,1,Brazil
EC,Mexico - Customs Valuation of Imports,1,Mexico
US,"Australia - Textile, Clothing and Footwear Import Credit Scheme",1,Australia
Philippines,US - Import Prohibition of Certain Shrimp and Shrimp Products,1,United States
EC,US - Anti-Dumping Measures on Imports of Solid Urea from the Former German Democratic Republic,1,United States
US,Brazil - Certain Measures Affecting Trade and Investment in the Automotive Sector,1,Brazil
EC,Japan - Measures Affecting Imports of Pork,1,Japan
Brazil,Canada - Measures Affecting the Export of Civilian Aircraft,1,Canada
EC,Japan - Procurement of a Navigation Satellite,1,Japan
US,Philippines - Measures Affecting Pork and Poultry,1,Philippines
EC,"Argentina - Measures Affecting Textiles, Clothing and Footwear",2,Argentina
Colombia,US - Safeguard Measure Against Imports of Broom Corn Brooms,1,United States
US,Belgium   - Measures Affecting Commercial Telephone Directory Services,1,Belgium  
EC,Brazil - Certain Measures Affecting Trade and Investment in the Automotive Sector,1,Brazil
US,Ireland - Measures Affecting the Grant of Copyright and neighbouring Rights,2,Ireland
US,Denmark - Measures Affecting the Reinforcement of Intellectual Property Rights,1,Denmark
EC,US - Measures Affecting Textiles and Apparel Products,1,United States
US,Sweden - Measures Affecting the Enforcement of Intellectual Property Rights,1,Sweden
EC,US - Government Procurement (EU)(Japan,4,United States
Korea,US - Colour Televisions,2,United States
Chile,US - Countervailing Duty Investigation of Imports of Salmon From Chile,1,United States
EC,US - Measures Affecting Imports of Poultry Products,1,United States
US,Mexico - Anti-Dumping Investigation of High-Fructose Corn Syrup (HFCS) from the United States,1,Mexico
US,Philippines - Measures Affecting Pork and Poultry,1,Philippines
US,EC - Measures Affecting the Exportation of Processed Cheese,1,EC
Panama,"EC - Regime for the Importation, Sale and Distribution of Bananas",1,EC
US,Australia - Subsidies Provided to Producers and Exporters of Automotive Leather,3,Australia
EC,Pakistan - Export Measures Affecting Hides and Skins,1,Pakistan
US,Chile - Taxes on Alcoholic Beverages,1,Chile
Argentina,US - Tariff Rate Quota for Imports of Groundnuts,1,United States
Brazil,Peru - Countervailing Duty Investigation Against Imports of Buses from Brazil,1,Peru
US,EC - Measures Affecting the Grant of Copyright and Neighbouring Rights,2,EC
EC,Brazil - Measures Affecting Payment Terms for Imports,1,Brazil
EC,Canada - Measures Affecting Film Distribution Services,1,Canada
EC,US - Harbour Maintenance Tax,1,United States
Switzerland,Australia - Anti-Dumping Measures on Imports of Coated Woodfree Paper Sheets,1,Australia
EC,India - Measures Affecting Export of Certain Commodities,2,India
Indonesia,Argentina - Safeguard Measures on Imports of Footwear,2,Argentina
US,Greece - Enforcement of Intellectual Property Rights for Motion Pictures and Television Programs,1,Greece
US,Greece - Enforcement of Intellectual Property Rights for Motion Pictures and Television Programs,1,Greece
US,Belgium - Certain Income Tax Measures Constituting Subsidies,1,Belgium
US,Netherlands - Certain Income Tax Measures Constituting Subsidies,1,Netherlands
US,Greece - Certain Income Tax Measures Constituting Subsidies,1,Greece
US,Ireland - Certain Income Tax Measures Constituting Subsidies,1,Ireland
US,France - Certain Income Tax Measures Constituting Subsidies,1,France
Switzerland,Slovak Republic - Measures Concerning the Importation of Dairy Products and the Transit of Cattle,1,Slovak Republic
India,EC - Restrictions on Certain Imports of Rice,1,EC
Canada,EC - Measures Affecting Imports of Wood of Conifers from Canada,1,EC
India,EC - Anti-Dumping Investigations Regarding Unbleached Cotton Fabrics from India,1,EC
Hungary,Slovak Republic - Measure Affecting Import Duty on Wheat from Hungary,1,Slovak Republic
Canada,"US - Certain Measures Affecting the Import of Cattle, Swine and Grain from Canada",1,United States
EC,Argentina - Countervailing Duties on Imports of Wheat Gluten from the EC,1,Argentina
EC,Japan - Tariff Quotas and Subsidies Affecting Leather,1,Japan
Hungary,Czech Republic - Measure Affecting Import Duty on Wheat from Hungary,1,Czech Republic
EC,India - Import Restrictions,1,India
EC,India - Measures Affecting Customs Duties,1,India
EC,US - Measures Affecting Textiles and Apparel Products (II),1,United States
Canada,EC - Patent Protection for Pharmaceutical and Agricultural Chemical Products,1,EC
Brazil,EC - Measures Affecting Differential and Favourable Treatment of Coffee,1,EC
EC,Argentina - Definitive Anti-Dumping Measures on Imports of Drill Bits from Italy,1,Argentina
"Honduras, Mexico, Guatemala, Panama, the US","EC - Regime for the Importation, Sale and Distribution of Bananas",1,EC
Czech Republic,Hungary - Safeguard Measure on Imports of Steel Products from the Czech Republic,1,Hungary
US,Argentina - Measures Affecting Imports of Footwear,3,Argentina
Canada,US - Countervailing Duty Investigation with Respect to Live Cattle from Canada,1,United States
India,South Africa - Anti-Dumping Duties on Certain Pharmaceutical Products from India,1,South Africa
US,Argentina - Patent Protection for Pharmaceuticals and Test Data Protection for Agricultural Chemicals,1,Argentina
US,Argentina - Certain Measures on the Protection of Patents and Test Data,1,Argentina
US,EC - Measures Relating to the Development of a Flight Management System,1,EC
US,France - Measures Relating to the Development of a Flight Management System,1,France
Canada,US - Reclassification of Certain Sugar Syrups,1,United States
Thailand,Colombia - Safeguard Measure on Imports of Plain Polyester Filaments from Thailand,2,Colombia
EC,Mexico - Measures on Import Licensing and Minimum Import Prices,1,Mexico
Costa Rica,Trinidad and Tobago - Certain Measures Affecting Imports of Pasta from Costa Rica,1,Trinidad and Tobago
